,class,transformed_tweet,len_word,num_word,positive_score,negative_score,sentiment
0,2,woman complain cleaning house amp man always take trash,55,9,0.0,0.238,0.0
1,1,boy dats cold tyga dwn bad cuffin dat hoe 1st place,51,11,0.0,0.259,-0.6499999999999999
2,1,ever fuck bitch start cry confused shit,39,7,0.0,0.891,-0.3333333333333333
3,1,look like tranny,16,3,0.556,0.0,0.0
4,1,shit hear might true might faker bitch told ya 57361,52,10,0.163,0.43,0.07499999999999998
5,1,shit blows claim faithful somebody still fucking hoes 128514 128514 128514,74,11,0.187,0.232,-0.4
6,1,sit hate another bitch got much shit going,42,8,0.0,0.689,-0.5
7,1,cause tired big bitches coming us skinny girls 8221,51,9,0.0,0.493,-0.2
8,1,amp might get ya bitch back amp thats,37,8,0.0,0.352,0.0
9,1,fighting mariam bitch,21,3,0.0,0.863,0.0
10,1,keeks bitch curves everyone lol walked conversation like smh,60,9,0.323,0.372,0.8
11,1,murda gang bitch gang land,26,5,0.0,0.487,0.0
12,1,hoes smoke losers yea go ig,27,6,0.0,0.405,-0.2
13,1,bad bitches thing like,22,4,0.229,0.679,-0.6999999999999998
14,1,bitch get,9,2,0.0,0.792,0.0
15,1,bitch nigga miss,16,3,0.0,0.844,0.0
16,1,bitch plz whatever,18,3,0.213,0.623,0.0
17,1,bitch love,10,2,0.525,0.475,0.5
18,1,bitches get cut everyday b,26,5,0.0,0.75,-0.2
19,1,black bottle amp bad bitch,26,5,0.0,0.709,-0.43333333333333324
20,1,broke bitch cant tell nothing,29,5,0.0,0.688,0.0
21,1,cancel bitch like nino,22,4,0.269,0.624,0.0
22,1,cant see hoes wont change,25,5,0.0,0.0,0.0
23,1,fuck bitch dont even suck dick 128514 128514 128514 kermit videos bout fuck ig,78,14,0.205,0.434,-0.4
24,1,,0,0,0.0,0.0,0.0
25,1,pussy lips like heaven doors 128524,35,6,0.592,0.0,0.0
26,1,hoe hitting,11,2,0.0,0.0,0.0
27,1,met pussy ocean dr gave pussy pill 128524,41,8,0.0,0.0,0.0
28,1,need trippy bitch fuck hennessy,31,5,0.0,0.709,-0.4
29,1,spend money want bitch business,31,5,0.16,0.469,0.0
30,1,txt old bitch new bitch pussy wetter,36,7,0.0,0.603,0.11818181818181818
31,1,say im back old old bitches would get excited 128524,52,10,0.168,0.273,0.14375
32,1,aint bout murder game pussy nigga shut,38,7,0.384,0.0,-0.4
33,1,toes ai done pussy stinks,25,5,0.0,0.333,-0.6
34,1,im done bitter bitches wrap angry bird theres app,49,9,0.0,0.625,-0.3
35,1,ya bitch,8,2,0.0,0.792,0.0
36,1,aint nothing cut bitch,22,4,0.0,0.674,0.0
37,1,jus meet son ya mane ass bitches shots,38,8,0.0,0.552,0.0
38,1,lames crying hoes thats tears clown,35,6,0.0,0.706,-0.2
39,1,like snoop said 94 dont love hoes,33,7,0.23,0.31,0.5
40,2,momma said pussy cats inside doghouse,37,6,0.0,0.0,0.0
41,1,,0,0,0.0,0.0,0.0
42,1,,0,0,0.0,0.0,0.0
43,1,pimps pimps hoes future voice,29,5,0.0,0.0,0.0
44,1,post picture pussy get 200 likes,32,6,0.359,0.0,0.0
45,1,,0,0,0.0,0.0,0.0
46,1,quick piece pussy call drive,28,5,0.0,0.0,0.3333333333333333
47,1,running round like brand new pussy thats bout get fucked,56,10,0.168,0.295,-0.2212121212121212
48,1,bitches even worst send guys,28,5,0.0,0.727,-1.0
49,1,hoes like niggas spend money talk bout,38,7,0.253,0.242,0.0
50,1,dont trust niggas bitches,25,4,0.583,0.304,0.0
51,1,yall niggas b cuffing hoes cause yall aint never bitches,56,10,0.0,0.416,0.0
52,1,da bitches cut pregnant bound thank god 128591 8221,51,9,0.295,0.385,0.3333333333333333
53,1,young pill chamberlain bitches love music,41,6,0.347,0.322,0.3
54,1,teanna trump probably cleaner twitter hoes,42,6,0.254,0.0,0.0
55,1,gay niggas could wait act like bitches tonight,46,8,0.181,0.457,0.4166666666666667
56,1,bitch,5,1,0.0,1.0,0.0
57,1,amp gone always hoe,19,4,0.0,0.0,0.0
58,1,son bitch took tic tacs like movie,34,7,0.221,0.336,0.0
59,1,wan na get money fuck model bitches russell simmons,51,9,0.0,0.514,-0.30000000000000004
60,1,probably 8217 mind school much 8217 deal bitch ass teachers retweet,67,11,0.0,0.448,0.2
61,1,fucking fag said,16,3,0.0,0.629,-0.6
62,1,stuff make pussy,16,3,0.0,0.0,0.0
63,2,woof woof hot scally lad,24,5,0.0,0.0,0.25
64,1,ya ever asked bitch bitches kanye voice yes,43,8,0.175,0.5,0.0
65,1,u gone bring ur side bitch game know ya gf friends 128553 128553 128553 128553 swear,84,16,0.154,0.249,-0.4
66,2,woof woof hot soles,19,4,0.0,0.0,0.25
67,2,lemmie eat oreo amp dishes one oreo lol,39,8,0.286,0.0,0.8
68,1,,0,0,0.0,0.0,0.0
69,1,fuck red malone man bitch ass niggah could please use complete sentences,72,12,0.164,0.507,-0.10000000000000002
70,2,eggplant emoji doe say looked like scream lmao,46,8,0.454,0.191,0.6
71,1,one sexy bitch,14,3,0.415,0.463,0.5
72,1,seh pussy wetter shower curtain ahmesehwetness lt lmao,54,8,0.358,0.0,0.6
73,1,eaglesnation every eagles need see pic posted bitch said racist shit,68,11,0.0,0.588,-0.2
74,1,amjemiebenn,11,1,0.0,0.0,0.0
75,2,awwwwe soooo adorable,21,3,0.615,0.0,0.5
76,1,128514 128514 128514 128514 ai shit damn skippy lol,51,9,0.185,0.417,0.30000000000000004
77,1,u ever kill ant sidewalk think damn nigga way get pussy bs must b gt 30 chance,78,17,0.182,0.329,0.0
78,1,0 rings 0 mvps 0 bitches lol,28,7,0.322,0.448,0.8
79,1,ppl talk bad kid growing nigga funnnnnnn,40,7,0.167,0.343,-0.6999999999999998
80,1,pussy tattooing nipples,23,3,0.0,0.0,0.0
81,1,128175 128175 128175 rt bitches wanting act like niggas bad 128553 128553 128553 shit aint cuteeeee niggas act like bitches,123,20,0.136,0.537,-0.44999999999999996
82,1,woof woof,9,2,0.0,0.0,0.0
83,1,yeah hoe,8,2,0.688,0.0,0.0
84,1,ok sis rather broke bitch shrugs tell works,43,8,0.159,0.478,0.5
85,1,whalelookyhere howdydowdy11 queer gaywad,40,4,0.0,0.0,0.0
86,1,itsnotadam faggot read tweets dat k even funny lol,50,9,0.377,0.291,0.525
87,1,fr lulwhore,11,2,0.0,0.0,0.0
88,1,kidnapped yo bitch,18,3,0.0,0.655,0.0
89,1,alsarabsss hes beaner smh tell hes mexican,42,7,0.0,0.277,0.0
90,1,aydanmccoy happy birthday nigs thanks yo,40,6,0.623,0.0,0.5
91,1,bitch need go,13,3,0.0,0.655,0.0
92,1,,0,0,0.0,0.0,0.0
93,1,would lil ugly bald headed bitches stop making amp weave,56,10,0.0,0.573,-0.7
94,1,leafs better win damn game go riot shit earlychristmas better start looting nig,79,13,0.362,0.374,0.24
95,1,going back school sucks dick hoes attend,40,7,0.0,0.537,-0.15
96,1,9 year old,10,3,0.0,0.0,0.1
97,1,come never bring food dont car retard,37,7,0.316,0.0,-0.9
98,1,richnow show hella tinder hoes im friend anymore chill brought like like 8 prople,81,14,0.451,0.0,0.0
99,1,bout cowboys shutup pussy,25,4,0.0,0.0,0.0
100,1,lt bitch want likes depressing shit foh,39,7,0.255,0.621,-0.4
101,1,girl know spitting g shit amp going lbvs bitch plz,50,10,0.088,0.503,-0.2
102,1,let make couple tweets cuzzo page wo get twitter jail lmao bitch trick,70,13,0.206,0.265,0.25
103,1,harlem shake excuse go full retard 30 seconds,45,8,0.114,0.447,-0.20000000000000004
104,1,okay need act like hoe bc emotionally damaged foh,49,9,0.331,0.218,0.25
105,1,one loyal female wayyyyy better hoes idc 128175,47,8,0.5,0.0,0.27777777777777773
106,1,8221 128533,11,2,0.0,0.0,0.0
107,1,check 12th man cowboysnation even faggot ny fans stands,55,9,0.0,0.355,0.0
108,1,happen vixen ent bitches got ran threw side like foothill bitch,63,11,0.137,0.423,0.0
109,1,im bitch okay nudes pat 128554 128527 128056 wow,48,9,0.368,0.245,0.3
110,1,,0,0,0.0,0.0,0.0
111,1,fuck wrong bitches nobody knows,31,5,0.0,0.84,-0.45
112,1,p make bitch,12,3,0.0,0.792,0.0
113,1,hate pregnant type bitch,24,4,0.0,0.789,-0.23333333333333336
114,1,got bitches dm ever top 3,25,6,0.207,0.448,0.5
115,2,baseball season win yankees love started,40,6,0.667,0.0,0.65
116,1,little stupid bitch fuck yoooooouuuu,36,5,0.0,0.831,-0.46249999999999997
117,1,really asked dead ass serious tho could say bitch wheet lol,59,11,0.126,0.604,0.11666666666666668
118,2,early bird night owl wise worms,31,6,0.383,0.0,0.39999999999999997
119,2,overdosing heavy drugs sound bad tonight pussy shit every day,61,10,0.0,0.47,-0.17499999999999996
120,2,8221 fairy tale creatures,25,4,0.0,0.0,0.0
121,1,aw fag tweet aw lol,19,5,0.315,0.348,0.8
122,2,benballer hahaha,16,2,0.783,0.0,0.2
123,1,h0rheyd say anything tho kiss faggot,36,6,0.25,0.393,0.0
124,2,128514 yup,10,2,0.0,0.0,0.0
125,1,could go fat ass bitch lap,26,6,0.0,0.646,0.0
126,1,17 missed calls 128544 128545 das yo bitch twitter finna screamn freemoneymelle,79,12,0.0,0.375,0.0
127,1,ya side bitch got ta know rules shit anybody ask cousin jersey thinkin bout moving lmmfao 128514 128514 128514 128514,117,20,0.0,0.291,-0.2
128,1,8221 fuck yeah,14,3,0.328,0.522,-0.4
129,1,hoes thinking meat wo slap ass 128564 128075 ainna bruh,55,10,0.122,0.267,0.0
130,1,yall bitches wit edges talking 128553 128564 9995 128514 128514 128514,70,11,0.0,0.281,0.0
131,1,yall still going trick treating year nah hell yeah ima da sweet tooth bandit steal bitches bags n shit,102,19,0.157,0.541,0.07499999999999998
132,1,wan na sex mom fuck right pussy came damn got hacked like fuck,62,13,0.109,0.541,-0.1785714285714286
133,1,kiss u eyes open watch bitch lmfao,34,7,0.481,0.29,0.0
134,1,woulda coulda shoulda ass hoe 128563 128586,43,7,0.0,0.368,0.0
135,1,happy bday bitch ass nigga jetsandaswisher preciate bitch roll,62,9,0.187,0.561,0.8
136,1,1jayee pipinhoes used send bitch,32,5,0.0,0.487,0.0
137,1,ugly bitches like wcw duh bitch ai nobody elses 128514 128514,61,11,0.122,0.537,-0.5
138,1,nigga know hacky sack hoes nah throw look passes lmao,53,10,0.293,0.105,0.6
139,1,glad getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em,98,17,0.184,0.379,-0.15
140,2,idc,3,1,0.0,0.0,0.0
141,1,would wife hoe cuz would care cheating force relationship first place,69,11,0.203,0.228,0.25
142,1,single excuse hoe,17,3,0.394,0.0,-0.060714285714285714
143,1,white boy power bitch black power bitch,39,7,0.0,0.603,-0.08333333333333333
144,1,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill,84,16,0.081,0.406,-0.275
145,1,bitch u around world back,25,5,0.0,0.559,0.0
146,1,anelylove get dick sucked yo party bad bitch fr gone set 128514 128514 128514 128514 anelylove,94,16,0.099,0.498,-0.6999999999999998
147,1,oomf soooo cute probably hoes lot,33,6,0.375,0.0,0.5
148,1,lmao damn captain saveahoe,26,4,0.453,0.314,0.6
149,2,hot sox legs,12,3,0.0,0.0,0.25
150,1,wish bitch like brother keezy 128530 ooooow bet,47,8,0.371,0.271,0.0
151,1,dressed cat halloween basic pussy,33,5,0.0,0.0,0.0
152,1,pornhub get gaming stream feature dumb bitches gtfo pornhub get katie lt 3,74,13,0.0,0.419,-0.375
153,1,stop scared choke sex u bitch ass niggas 8217 like says guy hits women bed foh,78,16,0.087,0.635,0.0
154,1,ha well iguess make hoes loyal bro theyll never loyal hoes nig,62,12,0.572,0.0,0.08333333333333333
155,1,1takehov oh man 5 molly ho fuck ya seed fixed,45,10,0.0,0.304,-0.15000000000000002
156,1,man refer every girl bitch,26,5,0.0,0.487,0.0
157,1,lmfao cat started beating shit nigga finally got pussy nigga,60,10,0.205,0.386,-0.1
158,2,peel peel bring back rewind back move shaq line ooooow tf said trash,68,13,0.0,0.0,0.0
159,1,16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,73,13,0.345,0.0,0.39999999999999997
160,1,vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah waiting hoe mayne,86,13,0.155,0.0,0.11818181818181818
161,1,ol dirty foot ass bitches funny,31,6,0.191,0.678,-0.175
162,1,get yellow flags amazing 128079 128524 hell yeah niggy,54,9,0.361,0.277,0.30000000000000004
163,1,got time bitches actin iffy,27,5,0.0,0.494,0.0
164,2,knightfanneal ucfpinkparty come stay alive knights nation still early bird special comeatmeut,93,12,0.346,0.0,0.18571428571428572
165,1,smfh amp wonder nobody decent wants,35,6,0.0,0.0,0.18333333333333335
166,1,bruh studs keep thinking soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe,93,18,0.071,0.402,0.3666666666666667
167,1,dry pussy bitches always blame condom 128514 128079 128514 128079 128514,72,11,0.0,0.412,-0.06666666666666665
168,1,128557 128514,13,2,0.0,0.0,0.0
169,1,gucci mane jail dropping mixtapes every month hoes ca even text back,68,12,0.0,0.0,-0.05
170,1,love hoes money wats wrong niggas,33,6,0.331,0.433,0.0
171,1,loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol,88,13,0.269,0.366,0.5666666666666667
172,1,easy cum easy hoe fact,22,5,0.659,0.0,0.43333333333333335
173,1,major fucking respect charlie sheen,35,5,0.459,0.0,-0.26875
174,1,wish bae 128533 got hoes tho,28,6,0.351,0.0,0.0
175,1,fuck twerking bitch cook,24,4,0.0,0.785,-0.4
176,1,,0,0,0.0,0.0,0.0
177,1,shut zoe fight pussy 8221 zoe good man good move along,54,11,0.354,0.159,0.7
178,1,lmao fucking snake bitches em,29,5,0.352,0.377,0.0
179,1,big booty hoes everywhere sheesh 128525 damn 127807 128064 127807,65,10,0.0,0.231,0.0
180,2,stay tuned mlbnetwork update report yankees 1b teixeiramark25 weeks dliming35 bum,81,11,0.0,0.0,0.0
181,2,8221 yes lmfao,14,3,0.861,0.0,0.0
182,1,oregon chokes every year get field trash ass program rft,56,10,0.0,0.448,0.0
183,1,terrell owens best eagle amp cowboy ever dude cried like bitch tv romo,70,13,0.303,0.29,1.0
184,1,black people niggers,20,3,0.0,0.0,-0.16666666666666666
185,1,gabrielastarr could u bitch potent,34,5,0.0,0.559,0.5
186,2,pissed lad past would lick dirty soles slept,44,8,0.0,0.542,-0.425
187,2,love frat boy soft long soles,29,6,0.457,0.0,0.18333333333333332
188,2,sexy lad hot soles arches,25,5,0.459,0.0,0.375
189,1,nah fam got ta cheat hoes depends female feel,45,9,0.0,0.386,0.0
190,2,128079 128079 128079 128079 128588 got hicks lol,48,8,0.286,0.0,0.8
191,1,new twitter confusing shit go back south america bitch,54,9,0.0,0.608,-0.09090909090909091
192,1,toto means ass vagina think pussy cause toto santi like nasty pussy,67,12,0.134,0.382,-1.0
193,1,actually choose ugly bitch 58381 ass must fat,45,8,0.0,0.679,-0.35
194,1,,0,0,0.0,0.0,0.0
195,1,tired bitches saying look mean 128530 nigga big af wear tight shirts grim everybody,83,14,0.0,0.488,-0.3782142857142857
196,2,climate,7,1,0.0,0.0,0.0
197,1,stay beautiful bitch,20,3,0.448,0.437,0.85
198,1,wutkinda r purple ceeeleee man gurl jus playin stupid hoe track still shitted sum gurls,87,15,0.0,0.337,-0.7999999999999999
199,1,money getting taller bitches getting blurry,43,6,0.0,0.57,0.0
200,1,ai never seen bitch obsessed nigga 128514 obsessed mine 128529,62,10,0.466,0.0,-0.5
201,1,meant one smh,13,3,0.0,0.535,0.0
202,1,lmfao,5,1,1.0,0.0,0.0
203,1,people always asking mixed bad asian bitch lol,46,8,0.185,0.483,0.02500000000000005
204,1,ariza snake coward least cripple like hero roach lmaoo,54,9,0.404,0.199,-0.3
205,2,fosters home imaginary trash 8221 whoa chill show everything tf,63,10,0.0,0.0,0.0
206,1,lowkey tired tired quiet go sleep hoe,37,7,0.0,0.537,-0.26666666666666666
207,1,,0,0,0.0,0.0,0.0
208,1,love hoes 128080 128581,23,4,0.583,0.0,0.5
209,1,yo girl cant homeboys ol weak bitch ass nigga,45,9,0.153,0.465,-0.375
210,1,think worst advice gave pussy speed lol,39,7,0.235,0.345,-0.09999999999999998
211,1,quote tweet favorite animal pussy,33,5,0.429,0.0,0.5
212,1,hate strippers tell dancers hoe ballet dancers pop pussy beethoven stripper,75,11,0.0,0.27,-0.8
213,1,double pussy 128526 smh,23,4,0.0,0.434,0.0
214,1,ya 128089 ya damn 128089 8252 65039,35,7,0.0,0.31,0.0
215,1,8221 nobody takin bitch,23,4,0.0,0.559,0.0
216,2,61 aid claimed white people black slander trash,47,8,0.0,0.0,-0.08333333333333333
217,1,bitches care play role,22,4,0.533,0.371,0.0
218,1,took find hiding lime tree iemonaids dis bitch da wrong tree bro,64,12,0.0,0.503,-0.5
219,1,dudes fag,9,2,0.0,0.756,0.0
